State,State_Score
Illinois,0
Kars,0
Adiyaman,0
Borno,0
Rio Grande do Norte,0
Busan,0
Panevezys,0
Almaty,0
Auckland,0
Yalova,0
Ruvuma,0
Cross River,0
Entre Ríos,0
Papua,0
Vargas,0
Malatya,0
Almaty City,0
Ashgabat,0
Rivers,0
Provincia de Buenos Aires,0
Ondo,0
Gunma,0
Extremadura,0
Misiones,0
Mersin,0
Otago,0
Šiauliai,0
Vilnius,0
North Holland,0
Drenthe,0
Gombe,0
Basilicata,0
Peravia,0
Elazig,0
Imo,0
Bolu,0
Arequipa,0
Batman,0
Duarte,0
Aveiro,0
Osmaniye,0
South Dublin,0
Kwara,0
Arizona,0
Baluchistan,0
Mary,0
Chiriquí,0
Izmir,0
Mendoza,0
Callao,0
Kutahya,0
Gangwon,0
Benue,0
Ra's Al Khaymah,0
Gelderland,0
San Luis,0
Isparta,0
Francisco Morazán,0
Chaco,0
Miranda,0
Nelson,0
Bauchi,0
Coimbra,0
Usak,0
Valle del Cauca,0
Manicaland,0
Loreto,0
Sivas,0
Salta,0
Lebap,0
Astana,0
Choluteca,0
Sokoto,0
Balikesir,0
Oregon,0
Qaraghandy,0
Niger,0
Katsina,0
Zhambyl,0
Cordillera,0
La Vega,0
Jinja,0
Abia,0
Khánh Hòa,0
Ogun,0
Cork,0
Kaduna,0
Groningen,0
Eskisehir,0
Aceh,0
Oyo,0
North Brabant,0
Sanliurfa,0
Plateau,0
Aragua,0
Carabobo,0
Utrecht,0
Distrito Capital,0
Anzoátegui,0
Alagoas,0
Tekirdag,0
Sindh,0
Artibonite,0
South Chungcheong,0
Sardinia,0
Ulsan,0
Mérida,0
Stockholm,0
Kahramanmaras,0
Kayseri,0
Jeju,0
Mashonaland West,0
Piura,0
Daejeon,0
Overijssel,0
Central Jutland,0
Gaziantep,0
Uppsala,0
Lara,0
Riau,0
Konya,0
Edirne,0
Värmland,0
Harare,0
Al Hudaydah,0
Ibb,0
Lisboa,0
Västra Götaland,0
Canakkale,0
Kaunas,0
F.C.T.,0
Gulu,0
Santiago del Estero,0
Monseñor Nouel,0
Ceará,0
Bolivar,0
Manisa,0
Anambra,0
Hatay,0
Ordu,0
Diyarbakir,0
Santa Fe,0
Kocaeli,0
Languedoc-Roussillon-Midi-Pyrénées,0
Yobe,0
Qostanay,0
Khatlon,0
Ibaraki,0
San Pedro de Macorís,0
Trabzon,0
Gisborne,0
Mardin,0
Junín,0
Osun,0
Delta,0
Skåne,0
Daegu,0
South Denmark,0
Denizli,0
Igdir,0
Dà Nang,0
Antalya,0
Enugu,0
Erzurum,0
Adana,0
Maranhão,0
Kampala,0
Aydin,0
Porto,0
Dublin,0
Khyber Pakhtunkhwa,0
Corum,0
Córdoba,0
Chubut,0
Colorado,0
Nakhon Ratchasima,0
Australian Capital Territory,0
'Ajman,0
Florida,0
Seoul,0
Sucre,0
Yangon,0
Iringa,0
Calabarzon,0
Punjab,0
Pavlodar,0
Ardahan,0
Amasya,0
Kirsehir,0
Colón,0
Santo Domingo,0
Kastamonu,0
Zealand,0
Bulawayo,0
Edo,0
Western Visayas,0
Ta'izz,0
Ohio,0
Sirnak,0
Akwa Ibom,0
Zeeland,0
Corrientes,0
Düzce,0
Moquegua,0
Bahia,0
Nueva Esparta,0
Catamarca,0
Istanbul,0
Tennessee,0
La Rioja,0
Ouest,0
Yaracuy,0
Ucayali,0
Setúbal,0
Th? Dô Hà N?i,0
Bangkok,0
Zamfara,0
Santa Catarina,0
Lima (city),0
Texas,0
Ankara,0
Kano,0
La Pampa,0
Rize,0
Lower Saxony,0
Siirt,0
Galway,0
Pennsylvania,0
Nigde,0
Tokat,0
Aqmola,0
Espaillat,0
Bursa,0
Gyeonggi,0
National Capital,0
South Holland,0
Aksaray,0
Río Negro,0
Ancash,0
Jujuy,0
Södermanland,0
Buenos Aires,0
Ebonyi,0
Adamawa,0
Cajamarca,0
Lambayeque,0
Ica,0
Abuja Capital Territory,0
Karaman,0
Panama,0
Samsun,0
North Carolina,0
Van,0
Nevsehir,0
Guárico,0
Braga,0
Bingol,0
Halland,0
Minas Gerais,0
Zulia,0
Friesland,0
San Juan,0
Kilis,0
Yoro,0
Klaipeda,0
Lagos,0
Cortés,0
Portuguesa,0
Hovedstaden,0
Atlántida,0
Puno,0
Gyeongsangnam,0
L'viv,2
Kalimantan Barat,2
Thies,2
Mwanza,2
Bechar,2
Ar Raqqah,2
Sumatera Selatan,2
Gilan,2
Tizi Ouzou,2
Tete,2
Baja California Sur,2
Mono,2
Diffa,2
Souss-Massa-Draâ,2
Pwani,2
Tipaza,2
Diyala,2
Gharb-Chrarda-Béni Hssen,2
Asyut,2
Kherson,2
Fukui,2
Vitsyebsk,2
Prague,2
Bitola,2
Pernik,2
Acre,2
Novosibirsk,2
Hedmark,2
Prahova,2
Bolívar,2
Tarija,2
Manabi,2
Ternopil',2
Melilla,2
Usti nad Labem,2
Stara Zagora,2
Tottori,2
Nova Scotia,2
Andijan,2
Atlantique,2
Liberec,2
Kasai-Oriental,2
Inhambane,2
Rivera,2
Extreme-Nord,2
Al Bahr Al Ahmar,2
St. Gallen,2
Hajdu-Bihar,2
Borgou,2
Piauí,2
Hims,2
Caras-Severin,2
Guelmim-Es Semara,2
Durrës,2
Free State,2
Liguria,2
T?nh C?n Tho,2
Caquetá,2
Chisinau,2
Bur Sa'id,2
Atsinanana,2
Vrancea,2
Brasov,2
Centrale,2
Northern,2
Guerrero,2
Limpopo,2
Pazardzhik,2
Constantine,2
Sud-Ouest,2
Korçë,2
Sumatera Barat,2
Lori,2
Shkodër,2
Namibe,2
Newfoundland,2
South Khorasan,2
Banaadir,2
Annaba,2
Cesar,2
Aomori,2
Nangarhar,2
Kara,2
Mykolayiv,2
Bushehr,2
Manica,2
Umbria,2
Beni,2
Podlaskie,2
Maramures,2
Balti,2
Northern Mindanao,2
Kabardino-Balkariya,2
Ziguinchor,2
Mehedinti,2
Campeche,2
Bas-Congo,2
Al Marqab,2
South Dakota,2
Morogoro,2
Mostaganem,2
Tarapacá,2
Nitra,2
Medea,2
Kalimantan Selatan,2
Kymenlaakso,2
Okayama,2
Haut-Sassandra,2
Zinder,2
Alibori,2
Bie,2
Tabora,2
Moravian-Silesian,2
Jizzakh,2
Lodz,2
Nyanza,2
Burgas,2
Malanje,2
Kafr Ash Shaykh,2
Espírito Santo,2
Osjecko-Baranjska,2
Cojedes,2
Mtwara,2
Gezira,2
Ilam,2
Donga,2
Banská Bystrica,2
Mara,2
Caldas,2
Semnan,2
Belgorod,2
Banghazi,2
Azuay,2
Arad,2
Cantabria,2
Qina,2
Novgorod,2
Al Fayyum,2
Kilimanjaro,2
Ivano-Frankivsk,2
Žilina,2
Nord-Ouest,2
Matabeleland North,2
Aichi,2
Mpumalanga,2
Cherkasy,2
Suceava,2
Dhi Qar,2
Irbid,2
Gorj,2
Arges,2
Maluku,2
Nusa Tenggara Barat,2
Adamaoua,2
Litoral,2
Casanare,2
Mopti,2
Magdalena,2
Cabo Delgado,2
North Dakota,2
Lima,2
Rivne,2
Neuquén,2
Nord,2
Nzérékoré,2
Zanjan,2
Mures,2
Diana,2
Hokkaido,2
Djelfa,2
Al Buhayrah,2
Pleven,2
Dolj,2
Matruh,2
Liège,2
Kabarole,2
Qazvin,2
Western,2
Bern,2
Ningxia,2
South Kivu,2
Zambezia,2
Dayr Az Zawr,2
Ayacucho,2
San Cristóbal,2
Skikda,2
Nagano,2
Jerusalem,2
Haute-Matsiatra,2
Muharraq,2
Cuscatlán,2
Olomouc,2
Grand Gedeh,2
Afyonkarahisar,2
Monagas,2
Meta,2
Kalimantan Timur,2
Chandigarh,2
Orientale,2
Jakarta,2
Alsace-Champagne-Ardenne-Lorraine,2
Lazio,2
Tlemcen,2
Khuzestan,2
Masovia,2
Taza-Al Hoceima-Taounate,2
Coast,2
Pernambuco,2
Limburg,2
Yazd,2
Durango,2
Jalisco,2
Sumatera Utara,2
Hubei,2
Emilia-Romagna,2
Piedmont,2
Ho Chí Minh City,2
Berlin,2
Jiangxi,2
Ardabil,2
New Mexico,2
Rio de Janeiro,2
Mato Grosso,2
Tasmania,2
Kerman,2
Bandundu,2
La Paz,2
Táchira,2
Kwazulu-natal,2
Granada,2
Tabasco,2
Pays de la Loire,2
Splitsko-Dalmatinska,2
Ivanovo,2
Chiapas,2
La Romana,2
Sicily,2
Marche,2
Yogyakarta,2
Markazi,2
Saskatchewan,2
Zacatecas,2
Sylhet,2
Jawa Timur,2
Ninawa,2
Apulia,2
Rondônia,2
Woqooyi Galbeed,2
White Nile,2
Kumanovo,2
Queensland,2
Chaouia-Ouardigha,2
Saxony,2
Al Madinah,2
Iasi,2
Tel Aviv,2
Campania,2
Las Tunas,2
Colima,2
Maritime,2
Santiago,2
Jawa Barat,2
Lombardy,2
Jawa Tengah,2
Namangan,2
Victoria,2
Bali,2
Tambov,2
Jubbada Hoose,2
Coahuila,2
Giurgiu,2
Guantánamo,3
Holguín,3
Hyogo,3
Chongqing,3
Chernihiv,3
Nusa Tenggara Timur,3
Sergipe,3
Sofala,3
Montevideo,3
Bishkek,3
'Asir,3
Qashqadaryo,3
Tocantins,3
Babil,3
Querétaro,3
West Virginia,3
O'Higgins,3
Lacs,3
Red Sea,3
Idaho,3
Al Basrah,3
Ash Sharqiyah,3
Arauca,3
Yevrey,3
Puducherry,3
Potosí,3
Guayas,3
Equateur,3
Sancti Spíritus,3
Huambo,3
West Flanders,3
Golestan,3
Goiás,3
Santa Cruz,3
Tamaulipas,3
Catalonia,3
Mandoul,3
Plovdiv,3
Hradec Kralove,3
Atlántico,3
Galati,3
Cluj,3
Masaya,3
Kermanshah,3
México,3
Massachusetts,3
Nayarit,3
Vlorë,3
Arbil,3
Normandy,3
Rabat-Salé-Zemmour-Zaer,3
Sidi Bel Abbes,3
Schleswig-Holstein,3
Hainaut,3
Risaralda,3
Bihor,3
Auvergne-Rhône-Alpes,3
North-West,3
Kassala,3
Flemish Brabant,3
Baja California,3
Trentino-Alto Adige,3
Murcia,3
Cundinamarca,3
Mbeya,3
Nuevo León,3
South Carolina,3
Niassa,3
Santiago de Cuba,3
Provence-Alpes-Côte d'Azur,3
Anseba,3
Lubusz,3
Atsimo-Andrefana,3
Kigali,3
San Salvador,3
Hunedoara,3
Guatemala,3
Baden-Württemberg,3
Western Australia,3
Dix-Huit Montagnes,3
Connecticut,3
Khartoum,3
Makkah,3
Greater Accra,3
Donetsk,3
Sibiu,3
Atacama,3
Tartumaa,3
Valcea,3
Nariño,3
Fars,3
Nairobi,3
Alger,3
Kirovohrad,3
Al Iskandariyah,3
Île-de-France,3
Veneto,3
Pahang,3
California,3
Moscow,3
Distrito Federal,3
Sistan Va Baluchestan,3
North Rhine-Westphalia,3
Castile and León,3
South Australia,3
New South Wales,3
Ontario,3
Budapest,3
Primorsko-Goranska,3
Hamadan,3
Kinshasa,3
Luhans'k,3
Plateaux,3
Pichincha,3
Chihuahua,3
Tbilisi,3
Bavaria,3
Roraima,3
Luanda,3
Amazonas,3
Quezaltenango,3
Saarland,3
Al Minufiyah,3
Friuli-Venezia Giulia,3
São Paulo,3
Martinique,3
Nord-Pas-de-Calais-Picardie,3
Fromager,3
Ciego de Ávila,3
Copperbelt,3
Oaxaca,3
Khmel'nyts'kyy,3
Nebraska,3
Silesia,3
Dagestan,3
Maharashtra,3
Rift Valley,3
Bogota,3
Razavi Khorasan,3
Shinyanga,3
Baghdad,3
Niari,3
Managua,3
Guanajuato,3
Central,3
Henan,3
Iowa,3
Kansas,3
Ar Riyad,3
Manzini,3
Braila,3
Grad Zagreb,3
Tripura,3
Pinar del Río,3
Bujumbura-Mairie,3
Valparaíso,3
Puebla,3
Tanger-Tétouan,3
Gauteng,3
Maine,3
Estuaire,3
Hormozgan,3
Est,3
Chinandega,3
Mississippi,3
Bryansk,3
Buzau,3
Manitoba,3
Isla de la Juventud,3
Eastern Cape,3
Ulaanbaatar,3
Sofiya-Grad,3
Huehuetenango,3
Escuintla,3
Vaud,3
Homyel',3
Dar Es Salaam,3
Tuscany,3
Haifa,3
Batna,3
Tehran,3
Rio Grande do Sul,3
Norte de Santander,3
Los Lagos,3
Assam,3
Dire Dawa,3
Vallee Du Bandama,3
Kordestan,3
Santa Ana,3
Bissau,3
Fès-Boulemane,3
Grand Casablanca,3
Esfahan,3
Michoacán,3
Oruro,3
Calabria,3
Saxony-Anhalt,3
Federal District,3
Kaluga,3
Sulawesi Tenggara,3
Sulawesi Utara,3
Kayes,3
Los Rios,3
British Columbia,3
Central Luzon,3
Al Minya,3
Lorestan,3
Beirut,3
Sonora,3
Veracruz,3
Arusha,3
Manawatu-Wanganui,3
Niamey,3
West Bengal,3
Al Jawf,3
Mazandaran,3
Alberta,3
Qom,3
Finland Proper,3
Sliven,3
Salzburg,3
Mecklenburg-Vorpommern,3
Sarawak,3
Arica y Parinacota,3
Tolima,3
Matanzas,3
Federation of Bosnia and Herzegovina,3
Rogaland,3
Greater Poland,3
Ceuta,3
Pomerania,3
Chuquisaca,3
Irkutsk,3
Saint Catherine,3
Chaguanas,3
Bamako,3
Tunis,3
Morelos,3
Maniema,3
Chimaltenango,3
Yucatán,3
Imereti,3
Quebec,3
Abruzzi,3
Aquitaine-Limousin-Poitou-Charentes,3
Centre-Val de Loire,3
Timis,3
Shanxi,3
Al Qahirah,3
Granma,3
'Amman,3
Louisiana,3
Fukuoka,3
Guelma,3
Sumy,3
Southern,3
Marrakech-Tensift-El Haouz,3
Bani Suwayf,3
Barahona,3
Vinnytsya,3
Zaporizhzhya,3
San Luis Potosí,3
Plzen,3
Varna,3
Cienfuegos,3
Littoral,3
Bashkortostan,3
Guadeloupe,3
Arkhangel'sk,3
Bourgogne-Franche-Comté,3
Utah,3
Kharkiv,4
Cochabamba,4
Wyoming,4
Opole,4
Santander,4
Arkansas,4
Shizuoka,4
Missouri,4
Manipur,4
Katanga,4
Bejaia,4
Hordaland,4
Nevada,4
Osh,4
East Flanders,4
Cidade De Maputo,4
Dnipropetrovs'k,4
Asunción,4
Jizan,4
Thuringia,4
Waikato,4
Vest-Agder,4
North Lebanon,4
Pará,4
Virginia,4
San Fernando,4
Brussels,4
Constanta,4
Canelones,4
Kagawa,4
Sichuan,4
Uttarakhand,4
Yambol,4
Perak,4
Andhra Pradesh,4
Andalusía,4
Eastern,4
Minnesota,4
Satu Mare,4
Phnom Penh,4
Michigan,4
Qinghai,4
Kuala Lumpur,4
Lusaka,4
León,4
Geneva,4
Southland,4
Quintana Roo,4
Baki,4
Boeny,4
Rhineland-Palatinate,4
Wisconsin,4
Uttar Pradesh,4
Shanghai,4
Sinaloa,4
Tianjin,4
Chittagong,4
Karnataka,4
Paysandú,4
New Hampshire,4
New York,4
Lucerne,4
Jharkhand,4
Vratsa,4
Saitama,4
Lublin,4
England,4
Jammu and Kashmir,4
Bistrita-Nasaud,4
Rhode Island,4
Valenciana,4
Guizhou,4
Singapore,4
Brest,4
Hiroshima,4
Central Equatoria,4
New Jersey,4
Selangor,4
Hesse,4
Hirat,4
Sud,4
Haryana,4
Gyor,4
Fujian,4
Oklahoma,4
Guangxi,4
Rajasthan,4
Maysan,4
Sulawesi Tengah,4
Antofagasta,4
Northern Territory,4
Aswan,4
Ishikawa,4
Kentucky,4
Amur,4
Zagrebacka,4
Sikasso,4
Yaroslavl',4
Tanga,4
Styria,4
Chelyabinsk,4
Rajshahi,4
Parana,4
Mie,4
Voronezh,4
Maryland,4
Kerala,4
Botosani,4
Heilongjiang,4
Indiana,4
Washington,4
Jambi,4
Saga,4
Doukkala-Abda,4
Bay of Plenty,4
Xinjiang Uygur,4
Kanagawa,4
Bengkulu,4
Wales,4
Carinthia,4
Yamaguchi,4
Beijing,4
Brandenburg,4
Dakar,4
Taipei City,4
La Libertad,4
Upper Austria,4
Namur,4
Buskerud,4
Brittany,4
Paraíba,4
Savanes,4
Gansu,4
Surxondaryo,4
Tyrol,4
Inner Mongolia,4
Vladimir,4
Yunnan,4
Centre,4
Oita,4
Neamt,4
Suhaj,4
Astrakhan',4
Camagüey,4
Shaanxi,4
Al Gharbiyah,4
Kigoma,4
Tokyo,4
Saida,4
Delhi,4
Zürich,4
Alabama,4
Osaka,4
Biobio,4
Kaliningrad,4
Dhaka,4
Chhattisgarh,4
Asturias,4
Shandong,4
Bekes,4
Odisha,4
Hainan,4
Vermont,4
Montana,4
Misratah,4
Chocó,4
Kasai-Occidental,4
Maputo,4
Kabul,4
Basel-Stadt,4
Northland,4
Georgia,4
Liaoning,4
Negeri Sembilan,4
Chiba,4
Delaware,4
Huila,4
Gujarat,4
Artemisa,4
Sonsonate,4
Hrodna,4
Corsica,4
Stavropol',4
Kankan,4
Hamburg,4
Nagasaki,4
Oslo,4
Bangui,4
Hong Kong,4
Wellington,4
Anhui,4
Taranaki,4
Volyn,4
Ad Dawhah,4
Mato Grosso do Sul,4
Boyacá,4
Basque Country,4
Khorezm,4
Guangdong,4
Sevastopol',4
Tadla-Azilal,4
Amapá,4
Analamanga,4
Navarra,4
Vienna,4
Kindia,4
Jiangsu,4
Podgorica,4
Canterbury,4
Ashanti,4
Matagalpa,4
Hawke's Bay,4
Madhya Pradesh,4
Western Cape,4
Laghouat,4
Bremen,4
Tochigi,4
Scotland,4
Kandahar,4
Ljubljana,4
Mayabeque,4
Villa Clara,4
Khulna,4
Quindío,4
Jilin,4
Ouémé,4
Zhejiang,4
Poltava,4
Salah Ad Din,4
Shumen,4
Estelí,4
Antwerp,4
Elbasan,4
Atakora,4
Karbala',4
Uusimaa,4
Djibouti,4
Al Qadisiyah,4
Trengganu,4
Galicia,4
Hunan,4
Maradi,4
Oran,4
Zhytomyr,4
Lesser Poland,4
Bacau,4
Antioquia,4
Hidalgo,4
Balearic Islands,4
Tamil Nadu,4
Nouakchott,4
Saint Michael,4
Tabuk,4
Hebei,4
Benguela,4
Castile-La Mancha,4
District of Columbia,4
Montserrado,4
Meknès-Tafilalet,4
Madrid,4
Sabah,4
Telangana,4
Saint-Louis,4
Kiên Giang,4
Bihar,4
Magallanes y Antártica Chilena,4
Marlborough,4
Lagunes,4
Nampula,4
Harjumaa,4
Khomas,4
Maseru,4
